phenotype,accuracy,f1_score
(((conv*3))*1)fc*1*512*lr-0.0001,0.6587878863016764,0.6621361374855042
(((conv*2))*3)fc*0*64*lr-0.1,0.10343434413274129,0.0
(((conv*3))*2)fc*1*512*lr-0.0001,0.6792929371198019,0.6752825379371643
(((conv*1)pool-dropout)*1)fc*0*256*lr-0.0001,0.6509090860684713,0.6125968098640442
(((conv*1)pool-)*1)fc*0*64*lr-0.01,0.5141414006551107,0.4688090682029724
(((conv*2)bnorm-pool-dropout)*2)fc*2*256*lr-0.01,0.7637373805046082,0.7965929508209229
(((conv*3)pool-)*1)fc*1*128*lr-0.0001,0.668181836605072,0.6593825221061707
(((conv*1)pool-dropout)*2)fc*1*512*lr-0.01,0.0989899014433225,0.0
(((conv*3)bnorm-pool-dropout)*3)fc*0*128*lr-0.1,0.5156565606594086,0.8347355127334595
(((conv*1)bnorm-pool-dropout)*3)fc*2*256*lr-0.01,0.6974747578303019,0.6672582030296326
(((conv*1))*3)fc*1*64*lr-0.001,0.6370706955591837,0.6239019632339478
(((conv*3)pool-)*1)fc*0*512*lr-0.01,0.5514141519864401,0.5304122567176819
(((conv*3))*1)fc*0*512*lr-0.1,0.09747474888960521,0.0
(((conv*3)bnorm-)*3)fc*0*256*lr-0.0001,0.6422222057978312,0.6478937864303589
(((conv*1))*1)fc*0*64*lr-0.001,0.5996969739596049,0.5922895669937134
(((conv*3)bnorm-)*2)fc*2*128*lr-0.1,0.1011111115415891,0.0
